"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Stimulus","count_errorfeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_logger","count_sequence","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Stimulus","time_errorfeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_logger","time_sequence","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1410","1410","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","s","NA","NA","s","1410","NA","31506","NA","NA","1410","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33938","NA","NA","NA","34142","NA","2410","NA","NA","34034","2422","NA","NA","34142","35554","34026","Flanker Task-AHC","1","1410","1","yes","1024"
"100","100","999.5","999.5","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","1","1","1","0","1","0","1","0","0","0","1","1","1","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","589","NA","31506","NA","NA","589","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33938","NA","NA","35566","36771","NA","2410","NA","NA","36661","2422","NA","NA","36771","37361","36653","Flanker Task-AHC","2","1999","2","yes","1024"
"100","100","854","854","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","2","2","2","0","2","0","2","0","0","0","2","2","2","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","563","NA","31506","NA","NA","563","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33938","NA","NA","37372","38572","NA","2410","NA","NA","38462","2422","NA","NA","38572","39137","38454","Flanker Task-AHC","3","2562","3","yes","1024"
"100","100","767","767","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","3","3","3","0","3","0","3","0","0","0","3","3","3","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","s","NA","NA","s","506","NA","31506","NA","NA","506","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33938","NA","NA","39150","40350","NA","2410","NA","NA","40241","2422","NA","NA","40350","40857","40233","Flanker Task-AHC","4","3068","4","yes","1024"
"100","100","696","696","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","4","4","4","0","4","0","4","0","0","0","4","4","4","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","s","NA","NA","s","412","NA","31506","NA","NA","412","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","33938","NA","NA","40870","42068","NA","2410","NA","NA","41958","2422","NA","NA","42068","42481","41951","Flanker Task-AHC","5","3480","5","yes","1024"
"100","100","648.666666667","648.666666667","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","5","5","5","0","5","0","5","0","0","0","5","5","5","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","412","NA","31506","NA","NA","412","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","33938","NA","NA","42493","43690","NA","2410","NA","NA","43582","2422","NA","NA","43691","44105","43575","Flanker Task-AHC","6","3892","6","yes","1024"
"85.7142857143","85.7142857143","633.142857143","633.142857143","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","6","6","6","0","6","0","6","0","0","0","6","6","6","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","540","NA","31506","NA","NA","540","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33938","NA","NA","44116","45316","NA","2410","NA","NA","45207","2422","NA","NA","45316","45858","45199","Flanker Task-AHC","6","4432","7","yes","1024"
"87.5","87.5","614.125","614.125","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","7","7","7","0","7","0","7","0","0","0","7","7","7","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","s","NA","NA","s","481","NA","31506","NA","NA","481","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","33938","NA","NA","46379","47582","45871","2410","NA","NA","47473","2422","NA","NA","47582","48064","47466","Flanker Task-AHC","7","4913","8","yes","1024"
"88.8888888889","88.8888888889","601.333333333","601.333333333","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","8","8","8","0","8","0","8","0","0","0","8","8","8","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","499","NA","31506","NA","NA","499","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33938","NA","NA","48076","49276","45871","2410","NA","NA","49167","2422","NA","NA","49276","49778","49160","Flanker Task-AHC","8","5412","9","yes","1024"
"90","90","593.6","593.6","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","9","9","0","9","0","9","0","0","0","9","9","9","Sat Sep  8 22:40:04 2018","1500","The main experiment item","yes","FlankerTaskAHC.osexp","/Users/abigailchristie/Desktop/Faulkenberry","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/abigailchristie/Desktop/Faulkenberry/AHC03.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","s","NA","NA","h","524","NA","31506","NA","NA","524","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","33938","NA","NA","49790","50987","45871","2410","NA","NA","50879","2422","NA","NA","50987","51513","50871","Flanker Task-AHC","9","5936","10","yes","1024"
