condition,stimulus,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_Faster,count_ISI,count_Sequence,count_errorFeedback,count_experiment,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_Faster,time_ISI,time_Sequence,time_errorFeedback,time_experiment,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Incongruent,HHSHH,0,0,1049,1049,black,legacy,legacy,legacy,0,uniform,0,undefined,0,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,0,0,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,1049,NA,218280,NA,NA,1049,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,NA,221253,NA,2740,NA,221258,2749,NA,NA,221362,222412,221362,Flanker Task,0,1049,1,yes,1024
Congruent,HHHHH,50,50,916.5,916.5,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,1,1,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,784,NA,218280,NA,NA,784,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,222964,224190,222451,2740,NA,224196,2749,NA,NA,224300,225085,224299,Flanker Task,1,1833,2,yes,1024
Incongruent,HHSHH,66.66666667,66.66666667,952,952,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,2,2,2,2,0,0,2,0,0,0,2,2,2,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,2,2,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,1023,NA,218280,NA,NA,1023,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,225100,226291,222451,2740,NA,226296,2749,NA,NA,226408,227432,226408,Flanker Task,2,2856,3,yes,1024
Incongruent,SSHSS,75,75,862.75,862.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,3,3,3,3,0,0,3,0,0,0,3,3,3,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,3,3,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,595,NA,218280,NA,NA,595,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,227447,228639,222451,2740,NA,228644,2749,NA,NA,228757,229354,228757,Flanker Task,3,3451,4,yes,1024
Incongruent,HHSHH,80,80,765,765,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,4,4,4,4,0,0,4,0,0,0,4,4,4,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,4,4,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,374,NA,218280,NA,NA,374,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,229367,230556,222451,2740,NA,230561,2749,NA,NA,230673,231048,230673,Flanker Task,4,3825,5,yes,1024
Congruent,SSSSS,83.33333333,83.33333333,749.1666667,749.1666667,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,5,5,5,5,0,0,5,0,0,0,5,5,5,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,5,5,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,670,NA,218280,NA,NA,670,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,231061,232255,222451,2740,NA,232261,2749,NA,NA,232373,233044,232373,Flanker Task,5,4495,6,yes,1024
Incongruent,HHSHH,85.71428571,85.71428571,721.8571429,721.8571429,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,6,6,6,6,0,0,6,0,0,0,6,6,6,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,6,6,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,558,NA,218280,NA,NA,558,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,233057,234250,222451,2740,NA,234255,2749,NA,NA,234368,234927,234367,Flanker Task,6,5053,7,yes,1024
Congruent,HHHHH,87.5,87.5,683.125,683.125,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,7,0,0,7,0,0,0,7,7,7,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,7,7,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,412,NA,218280,NA,NA,412,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,234941,236149,222451,2740,NA,236154,2749,NA,NA,236258,236671,236258,Flanker Task,7,5465,8,yes,1024
Congruent,HHHHH,88.88888889,88.88888889,731.1111111,731.1111111,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,8,8,8,8,0,0,8,0,0,0,8,8,8,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,8,8,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,1115,NA,218280,NA,NA,1115,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,236686,237885,222451,2740,NA,237890,2749,NA,NA,238003,239119,238003,Flanker Task,8,6580,9,yes,1024
Congruent,HHHHH,90,90,728.8,728.8,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,9,9,9,9,0,0,9,0,0,0,9,9,9,9/9/18 20:05,1500,The main experiment item,yes,FlankerTask.osexp,E:/,no,mono,no,18,no,white,no,yes,768,legacy,9,9,E:/kg-subject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,708,NA,218280,NA,NA,708,2,legacy,1024,2,48000,-16,experiment,2,even,221031,NA,NA,NA,239132,240343,222451,2740,NA,240349,2749,NA,NA,240453,241163,240453,Flanker Task,9,7288,10,yes,1024
