"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_blcok1","count_block2","count_block3","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_instructions1","count_instructions2","count_instructions3","count_keyboard_response","count_new_logger","count_sequence","count_stimulus","datetime","deadline","description","disable_garbage_collection","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_blcok1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_finish","response_instructions1","response_instructions2","response_instructions3","response_keyboard_response","response_time","response_time_finish","response_time_instructions1","response_time_instructions2","response_time_instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_ISI","time_blcok1","time_block2","time_block3","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_instructions1","time_instructions2","time_instructions3","time_keyboard_response","time_new_logger","time_sequence","time_stimulus","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1470","1470","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","0","0","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","1470","NA","51394","NA","NA","1470","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","NA","61413","NA","NA","NA","10012","NA","NA","61537","10017","NA","NA","61651","63123","61533","61650","Flanker","1","1470","1","yes","1024"
"50","50","979","979","black","no","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","1","0","0","0","1","0","1","0","1","0","0","0","1","1","1","1","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","1","1","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","488","NA","51394","NA","NA","488","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","63167","61413","NA","NA","NA","10012","NA","NA","64276","10017","NA","NA","64379","64869","64271","64379","Flanker","1","1958","2","yes","1024"
"33.3333333333","33.3333333333","1152.66666667","1152.66666667","black","no","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","2","0","0","0","2","0","2","0","2","0","0","0","2","2","2","2","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","2","2","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","None","NA","h","NA","NA","None","1500","NA","51394","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","65391","61413","NA","NA","64886","10012","NA","NA","66521","10017","NA","NA","66625","68126","66517","66625","Flanker","1","3458","3","yes","1024"
"50","50","1029","1029","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","3","0","0","0","3","0","3","0","3","0","0","0","3","3","3","3","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","3","3","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","658","NA","51394","NA","NA","658","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","68643","61413","NA","NA","68140","10012","NA","NA","69743","10017","NA","NA","69846","70505","69738","69846","Flanker","2","4116","4","yes","1024"
"60","60","938.4","938.4","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","4","0","0","0","4","0","4","0","4","0","0","0","4","4","4","4","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","4","4","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","576","NA","51394","NA","NA","576","2","legacy","1024","2","48000","-16","experiment","SSHSS","3","odd","70641","61413","NA","NA","68140","10012","NA","NA","71747","10017","NA","NA","71850","72428","71742","71850","Flanker","3","4692","5","yes","1024"
"66.6666666667","66.6666666667","861.666666667","861.666666667","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","5","0","0","0","5","0","5","0","5","0","0","0","5","5","5","5","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","5","5","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","478","NA","51394","NA","NA","478","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","72442","61413","NA","NA","68140","10012","NA","NA","73545","10017","NA","NA","73648","74127","73541","73647","Flanker","4","5170","6","yes","1024"
"71.4285714286","71.4285714286","832.714285714","832.714285714","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","6","0","0","0","6","0","6","0","6","0","0","0","6","6","6","6","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","6","6","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","h","NA","h","NA","NA","h","659","NA","51394","NA","NA","659","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","74140","61413","NA","NA","68140","10012","NA","NA","75246","10017","NA","NA","75349","76010","75242","75349","Flanker","5","5829","7","yes","1024"
"62.5","62.5","783.375","783.375","black","no","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","7","0","0","0","7","0","7","0","7","0","0","0","7","7","7","7","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","7","7","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","438","NA","51394","NA","NA","438","2","legacy","1024","2","48000","-16","experiment","HHHHH","3","odd","76022","61413","NA","NA","68140","10012","NA","NA","77122","10017","NA","NA","77225","77664","77118","77224","Flanker","5","6267","8","yes","1024"
"66.6666666667","66.6666666667","764","764","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","8","0","0","0","8","0","8","0","8","0","0","0","8","8","8","8","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","8","8","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","609","NA","51394","NA","NA","609","2","legacy","1024","2","48000","-16","experiment","SSSSS","3","odd","78181","61413","NA","NA","77677","10012","NA","NA","79280","10017","NA","NA","79383","79993","79276","79382","Flanker","6","6876","9","yes","1024"
"70","70","760.8","760.8","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","9","0","0","0","9","0","9","0","9","0","0","0","9","9","9","9","09/09/18 21:44:13","1500","The main experiment item","yes","F:\","no","mono","no","18","no","white","no","yes","768","legacy","9","9","F:/mc-subject-3.csv","legacy","Jazzy James","3.1.9","0","s","NA","h","NA","NA","s","732","NA","51394","NA","NA","732","2","legacy","1024","2","48000","-16","experiment","HHSHH","3","odd","80004","61413","NA","NA","77677","10012","NA","NA","81121","10017","NA","NA","81226","81960","81115","81226","Flanker","7","7608","10","yes","1024"
