condition,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_Stimulus,count_errorfeedback,count_experiment,count_faster,count_finish,count_fixation,count_instruction1,count_instruction2,count_instruction3,count_keyboard_response,count_logger,count_sequence,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instruction1,response_instruction2,response_instruction3,response_keyboard_response,response_time,response_time_finish,response_time_instruction1,response_time_instruction2,response_time_instruction3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_Stimulus,time_errorfeedback,time_experiment,time_faster,time_finish,time_fixation,time_instruction1,time_instruction2,time_instruction3,time_keyboard_response,time_logger,time_sequence,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
Congruent,100,100,558,558,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,558,NA,3894,NA,NA,558,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,7410,NA,NA,NA,7639,NA,3490,NA,NA,7531,3503,NA,NA,7639,8198,7523,Flanker Task,1,558,1,yes,1024
incongruent,100,100,654,654,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,750,NA,3894,NA,NA,750,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,7410,NA,NA,8216,9438,NA,3490,NA,NA,9328,3503,NA,NA,9438,10189,9319,Flanker Task,2,1308,2,yes,1024
incongruent,100,100,614.3333333,614.3333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,2,2,2,0,2,0,2,0,0,0,2,2,2,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,535,NA,3894,NA,NA,535,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,7410,NA,NA,10200,11410,NA,3490,NA,NA,11302,3503,NA,NA,11410,11946,11293,Flanker Task,3,1843,3,yes,1024
congruent,100,100,592.75,592.75,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,3,3,3,0,3,0,3,0,0,0,3,3,3,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,528,NA,3894,NA,NA,528,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,7410,NA,NA,11958,13164,NA,3490,NA,NA,13056,3503,NA,NA,13164,13693,13048,Flanker Task,4,2371,4,yes,1024
congruent,100,100,586.4,586.4,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,4,4,4,0,4,0,4,0,0,0,4,4,4,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,561,NA,3894,NA,NA,561,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,7410,NA,NA,13704,14913,NA,3490,NA,NA,14805,3503,NA,NA,14913,15475,14797,Flanker Task,5,2932,5,yes,1024
Congruent,100,100,573.3333333,573.3333333,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,5,5,5,0,5,0,5,0,0,0,5,5,5,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,508,NA,3894,NA,NA,508,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,7410,NA,NA,15487,16701,NA,3490,NA,NA,16593,3503,NA,NA,16701,17210,16583,Flanker Task,6,3440,6,yes,1024
incongruent,100,100,605.5714286,605.5714286,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,6,6,6,0,6,0,6,0,0,0,6,6,6,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,799,NA,3894,NA,NA,799,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,7410,NA,NA,17223,18432,NA,3490,NA,NA,18324,3503,NA,NA,18432,19232,18315,Flanker Task,7,4239,7,yes,1024
congruent,100,100,585,585,black,legacy,legacy,legacy,0,uniform,1,undefined,1,h,0,0,0,7,7,7,0,7,0,7,0,0,0,7,7,7,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,h,NA,s,NA,NA,h,441,NA,3894,NA,NA,441,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,7410,NA,NA,19245,20460,NA,3490,NA,NA,20348,3503,NA,NA,20460,20902,20339,Flanker Task,8,4680,8,yes,1024
Congruent,100,100,567.4444444,567.4444444,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,8,8,8,0,8,0,8,0,0,0,8,8,8,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,427,NA,3894,NA,NA,427,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,7410,NA,NA,20919,22123,NA,3490,NA,NA,22015,3503,NA,NA,22123,22551,22007,Flanker Task,9,5107,9,yes,1024
Congruent,100,100,549.8,549.8,black,legacy,legacy,legacy,0,uniform,1,undefined,1,s,0,0,0,9,9,9,0,9,0,9,0,0,0,9,9,9,Sun Sep  9 20:33:43 2018,1500,The main experiment item,yes,FlankerTask.osexp,/Users/hannahrae97/Desktop,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/hannahrae97/Desktop/CTsubject-2.csv,legacy,Kafkaesque Koffka,3.2.5,0,s,NA,s,NA,NA,s,391,NA,3894,NA,NA,391,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,7410,NA,NA,22563,23768,NA,3490,NA,NA,23660,3503,NA,NA,23768,24160,23651,Flanker Task,10,5498,10,yes,1024
