"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_Keyboard_Response","correct_response","count_Block1","count_Block2","count_Block3","count_Error_Feedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Insturctions3","count_Keyboard_Response","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Insturctions3","response_Keyboard_Response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Insturctions3","response_time_Keyboard_Response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_Error_Feedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Insturctions3","time_Keyboard_Response","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","1500","1500","black","legacy","legacy","legacy","0","Congruent","uniform","0","undefined","0","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","None","NA","h","NA","NA","None","1500","NA","23367","NA","NA","1500","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","28500","NA","NA","NA","NA","NA","28576","NA","5122","NA","NA","28687","30187","28566","28687","5100","Flanker Task","0","1500","1","yes","1024"
"0","0","975","975","black","legacy","legacy","legacy","0","Incongruent","uniform","0","undefined","0","s","0","0","0","1","1","0","1","1","0","0","0","1","1","1","1","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","h","NA","NA","h","450","NA","23367","NA","NA","450","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","28500","NA","NA","30203","NA","NA","31790","30713","5122","NA","NA","31902","32353","31780","31902","5100","Flanker Task","0","1950","2","yes","1024"
"33.3333333333","33.3333333333","928","928","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","2","0","0","0","2","2","2","2","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","h","NA","NA","s","834","NA","23367","NA","NA","834","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","28500","NA","NA","32366","NA","NA","33949","32880","5122","NA","NA","34061","34896","33939","34061","5100","Flanker Task","1","2784","3","yes","1024"
"50","50","870.5","870.5","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","3","3","0","3","3","0","0","0","3","3","3","3","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","h","NA","NA","s","698","NA","23367","NA","NA","698","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","28500","NA","NA","32366","NA","NA","35979","34910","5122","NA","NA","36089","36789","35969","36089","5100","Flanker Task","2","3482","4","yes","1024"
"60","60","810.8","810.8","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","4","4","0","4","4","0","0","0","4","4","4","4","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","h","NA","NA","s","572","NA","23367","NA","NA","572","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","28500","NA","NA","32366","NA","NA","37875","36801","5122","NA","NA","37986","38559","37864","37986","5100","Flanker Task","3","4054","5","yes","1024"
"66.6666666667","66.6666666667","761","761","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","5","5","5","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","h","NA","NA","h","512","NA","23367","NA","NA","512","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","28500","NA","NA","32366","NA","NA","39645","38574","5122","NA","NA","39757","40270","39635","39757","5100","Flanker Task","4","4566","6","yes","1024"
"71.4285714286","71.4285714286","730.428571429","730.428571429","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","6","6","0","6","6","0","0","0","6","6","6","6","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","h","NA","NA","h","547","NA","23367","NA","NA","547","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","28500","NA","NA","32366","NA","NA","41359","40284","5122","NA","NA","41471","42019","41349","41470","5100","Flanker Task","5","5113","7","yes","1024"
"75","75","696.75","696.75","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","7","0","0","0","7","7","7","7","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","h","NA","h","NA","NA","h","461","NA","23367","NA","NA","461","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","28500","NA","NA","32366","NA","NA","43105","42032","5122","NA","NA","43218","43680","43094","43218","5100","Flanker Task","6","5574","8","yes","1024"
"77.7777777778","77.7777777778","681.333333333","681.333333333","black","legacy","legacy","legacy","0","Incongruent","uniform","1","undefined","1","s","0","0","0","8","8","0","8","8","0","0","0","8","8","8","8","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","h","NA","NA","s","558","NA","23367","NA","NA","558","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","28500","NA","NA","32366","NA","NA","44762","43693","5122","NA","NA","44875","45434","44752","44875","5100","Flanker Task","7","6132","9","yes","1024"
"80","80","670","670","black","legacy","legacy","legacy","0","Congruent","uniform","1","undefined","1","s","0","0","0","9","9","0","9","9","0","0","0","9","9","9","9","0","Thu Sep  6 14:32:57 2018","1500","The main experiment item","yes","FlankerTask.osexp","/Users/emmaleemorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/emmaleemorgan/Desktop/EM subject-2, f, 47.csv","legacy","Kafkaesque Koffka","3.2.5","0","s","NA","h","NA","NA","s","568","NA","23367","NA","NA","568","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","28500","NA","NA","32366","NA","NA","46516","45447","5122","NA","NA","46629","47198","46505","46629","5100","Flanker Task","8","6700","10","yes","1024"
