"acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Sequence","count_Stimulus","count_experiment","count_keyboard_response","count_logger","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Sequence","time_Stimulus","time_experiment","time_keyboard_response","time_logger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1171","1171","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","s","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","1171","NA","31824","NA","NA","1171","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","33412","NA","NA","NA","NA","NA","33469","NA","1586","NA","NA","33467","33570","1581","33570","34742","Flanker Task","1","1171","1","yes","1024"
"100","100","893","893","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","1","1","0","1","1","0","0","0","1","1","0","1","1","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","615","NA","31824","NA","NA","615","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","33412","NA","NA","NA","NA","NA","35862","34810","1586","NA","NA","35860","35963","1581","35963","36579","Flanker Task","2","1786","2","yes","1024"
"100","100","774.333333333","774.333333333","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","2","2","0","2","2","0","0","0","2","2","0","2","2","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","537","NA","31824","NA","NA","537","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","33412","NA","NA","NA","NA","NA","37660","36610","1586","NA","NA","37658","37761","1581","37761","38299","Flanker Task","3","2323","3","yes","1024"
"100","100","714.75","714.75","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","3","3","0","3","3","0","0","0","3","3","0","3","3","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","536","NA","31824","NA","NA","536","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","33412","NA","NA","NA","NA","NA","39427","38377","1586","NA","NA","39425","39528","1581","39528","40065","Flanker Task","4","2859","4","yes","1024"
"100","100","706.4","706.4","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","4","4","0","4","4","0","0","0","4","4","0","4","4","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","673","NA","31824","NA","NA","673","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","NA","NA","NA","41138","40088","1586","NA","NA","41136","41240","1581","41240","41914","Flanker Task","5","3532","5","yes","1024"
"100","100","672.833333333","672.833333333","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","5","0","5","5","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","505","NA","31824","NA","NA","505","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","NA","NA","NA","43016","41966","1586","NA","NA","43014","43117","1581","43117","43624","Flanker Task","6","4037","6","yes","1024"
"100","100","630.285714286","630.285714286","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","6","6","0","6","6","0","0","0","6","6","0","6","6","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","375","NA","31824","NA","NA","375","2","legacy","1024","2","48000","-16","experiment","SSSSS","2","even","33412","NA","NA","NA","NA","NA","44727","43677","1586","NA","NA","44725","44828","1581","44828","45204","Flanker Task","7","4412","7","yes","1024"
"100","100","607.625","607.625","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","7","7","0","7","7","0","0","0","7","7","0","7","7","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","449","NA","31824","NA","NA","449","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","NA","NA","NA","46282","45232","1586","NA","NA","46280","46384","1581","46384","46833","Flanker Task","8","4861","8","yes","1024"
"100","100","586.444444444","586.444444444","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","8","8","0","8","8","0","0","0","8","8","0","8","8","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","417","NA","31824","NA","NA","417","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","NA","NA","NA","47938","46888","1586","NA","NA","47936","48039","1581","48039","48457","Flanker Task","9","5278","9","yes","1024"
"100","100","569.4","569.4","black","no","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","9","9","0","9","9","0","0","0","9","9","0","9","9","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","416","NA","31824","NA","NA","416","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","NA","NA","NA","49552","48488","1586","NA","NA","49550","49654","1581","49654","50071","Flanker Task","10","5694","10","yes","1024"
"90.9090909091","90.9090909091","560.363636364","560.363636364","black","no","legacy","legacy","legacy","0","congruent","uniform","0","undefined","0","h","0","0","0","10","10","0","10","10","0","0","0","10","10","0","10","10","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","470","NA","31824","NA","NA","470","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","33412","NA","NA","NA","NA","NA","51167","50099","1586","NA","NA","51165","51269","1581","51269","51740","Flanker Task","10","6164","11","yes","1024"
"83.3333333333","83.3333333333","548.833333333","548.833333333","black","no","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","11","11","0","11","11","0","0","0","11","11","0","11","11","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","11","11","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","s","NA","s","NA","NA","s","422","NA","31824","NA","NA","422","2","legacy","1024","2","48000","-16","experiment","SSHSS","2","even","33412","NA","NA","51779","NA","NA","53351","52281","1586","NA","NA","53349","53453","1581","53453","53877","Flanker Task","10","6586","12","yes","1024"
"84.6153846154","84.6153846154","540.769230769","540.769230769","black","no","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","12","12","0","12","12","0","0","0","12","12","0","12","12","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","12","12","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","444","NA","31824","NA","NA","444","2","legacy","1024","2","48000","-16","experiment","HHHHH","2","even","33412","NA","NA","53911","NA","NA","55483","54413","1586","NA","NA","55481","55585","1581","55585","56030","Flanker Task","11","7030","13","yes","1024"
"78.5714285714","78.5714285714","530.857142857","530.857142857","black","no","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","s","0","0","0","13","13","0","13","13","0","0","0","13","13","0","13","13","09/04/18 09:30:40","1500","The main experiment item","yes","FlankerTask.osexp","C:/Users/Anabel/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","13","13","C:/Users/Anabel/Desktop/AW-subject-2.csv","legacy","Jazzy James","3.1.9","0","h","NA","s","NA","NA","h","402","NA","31824","NA","NA","402","2","legacy","1024","2","48000","-16","experiment","HHSHH","2","even","33412","NA","NA","53911","NA","NA","57129","56055","1586","NA","NA","57127","57231","1581","57231","57634","Flanker Task","11","7432","14","yes","1024"
