setSize,posInSet,present,numberSet,target,correct_response
1,0,n,5,8,right
1,0,n,9,6,right
1,0,n,1,7,right
1,1,y,4,4,left
1,1,y,7,7,left
1,1,y,8,8,left
2,0,n,8 9,5,right
2,0,n,6 8,9,right
2,0,n,7 9,1,right
2,1,y,6 2,6,left
2,1,y,2 3,2,left
2,1,y,3 4,3,left
2,0,n,7 1,8,right
2,0,n,4 1,6,right
2,0,n,5 2,7,right
2,2,y,8 3,3,left
2,2,y,6 5,5,left
2,2,y,7 6,6,left
3,0,n,6 9 5,8,right
3,0,n,2 8 9,6,right
3,0,n,3 9 1,7,right
3,1,y,9 4 2,9,left
3,1,y,8 7 3,8,left
3,1,y,9 8 4,9,left
3,0,n,3 4 2,5,right
3,0,n,5 7 3,9,right
3,0,n,6 8 4,1,right
3,2,y,7 1 3,1,left
3,2,y,4 1 5,1,left
3,2,y,5 2 6,2,left
3,0,n,1 8 7,4,right
3,0,n,1 6 4,7,right
3,0,n,2 7 5,8,right
3,3,y,8 1 6,6,left
3,3,y,6 1 2,2,left
3,3,y,7 2 3,3,left
4,0,n,4 2 6 9,7,right
4,0,n,7 3 2 8,4,right
4,0,n,8 4 3 9,5,right
4,1,y,2 3 7 4,2,left
4,1,y,3 5 4 7,3,left
4,1,y,4 6 5 8,4,left
4,0,n,8 4 3 5,6,right
4,0,n,6 7 5 9,2,right
4,0,n,7 8 6 1,3,right
4,2,y,9 5 8 1,5,left
4,2,y,8 9 6 1,9,left
4,2,y,9 1 7 2,1,left
4,0,n,1 7 5 2,3,right
4,0,n,1 4 9 3,5,right
4,0,n,2 5 1 4,6,right
4,3,y,6 7 8 5,8,left
4,3,y,2 4 6 9,6,left
4,3,y,3 5 7 1,7,left
4,0,n,7 9 1 6,4,right
4,0,n,4 8 1 2,7,right
4,0,n,5 9 2 3,8,right
4,4,y,6 9 3 1,1,left
4,4,y,2 8 5 1,1,left
4,4,y,3 9 6 2,2,left
5,0,n,1 4 3 6 5,8,right
5,0,n,1 7 5 2 9,3,right
5,0,n,2 8 6 3 1,7,right
5,1,y,9 5 3 8 4,9,left
5,1,y,8 9 5 6 7,8,left
5,1,y,9 1 6 7 8,9,left
5,0,n,9 8 2 7 4,5,right
5,0,n,8 6 3 4 7,1,right
5,0,n,9 7 4 5 8,6,right
5,2,y,2 6 1 7 4,6,left
5,2,y,3 2 1 4 7,2,left
5,2,y,4 3 2 5 8,3,left
5,0,n,1 3 2 6 9,5,right
5,0,n,1 5 3 2 8,4,right
5,0,n,2 6 4 3 9,1,right
5,3,y,2 5 4 8 7,4,left
5,3,y,3 9 7 6 4,7,left
5,3,y,4 1 8 7 5,8,left
5,0,n,8 5 7 3 6,9,right
5,0,n,6 9 4 5 2,1,right
5,0,n,7 1 5 6 3,8,right
5,4,y,9 3 1 2 5,2,left
5,4,y,8 5 1 3 9,3,left
5,4,y,9 6 2 4 1,4,left
5,0,n,1 4 9 2 5,7,right
5,0,n,1 7 8 3 9,2,right
5,0,n,2 8 9 4 1,5,right
5,5,y,7 8 6 3 1,1,left
5,5,y,4 6 2 5 1,1,left
5,5,y,5 7 3 6 2,2,left
6,0,n,5 3 2 6 9 8,4,right
6,0,n,9 5 3 2 8 6,7,right
6,0,n,1 6 4 3 9 7,8,right
6,1,y,6 7 9 3 1 2,6,left
6,1,y,2 4 8 5 1 3,2,left
6,1,y,3 5 9 6 2 4,3,left
6,0,n,6 2 9 3 8 4,1,right
6,0,n,2 3 8 5 6 7,1,right
6,0,n,3 4 9 6 7 8,2,right
6,2,y,8 5 4 7 3 1,5,left
6,2,y,6 9 7 4 5 1,9,left
6,2,y,7 1 8 5 6 2,1,left
6,0,n,8 2 1 4 5 9,7,right
6,0,n,6 3 1 7 9 8,4,right
6,0,n,7 4 2 8 1 9,5,right
6,3,y,5 2 9 6 1 7,9,left
6,3,y,9 3 8 2 1 4,8,left
6,3,y,1 4 9 3 2 5,9,left
6,0,n,6 9 4 5 3 2,8,right
6,0,n,2 8 7 9 5 3,6,right
6,0,n,3 9 8 1 6 4,7,right
6,4,y,4 9 7 8 5 3,8,left
6,4,y,7 8 4 6 9 5,6,left
6,4,y,8 9 5 7 1 6,7,left
6,0,n,8 5 4 2 9 6,3,right
6,0,n,6 9 7 3 8 2,5,right
6,0,n,7 1 8 4 9 3,6,right
6,5,y,3 4 9 6 2 9,2,left
6,5,y,5 7 8 2 3 8,3,left
6,5,y,6 8 9 3 4 9,4,left
6,0,n,7 6 4 8 1 2,9,right
6,0,n,4 2 7 6 1 3,8,right
6,0,n,5 3 8 7 2 4,9,right
6,6,y,4 7 6 8 2 3,3,left
6,6,y,7 4 2 6 3 5,5,left
6,6,y,8 5 3 7 4 6,6,left
