"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instructions1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instructions1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instructions1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instructions1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instructions1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1375","1375","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","right","NA","left","NA","1375","38806","NA","1375","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","52688","NA","50457","10857","NA","50468","NA","10879","NA","54699","56075","51478","49737","54698","NA","Sternberg Task","1","1375","1","yes","1024"
"100","100","1178","1178","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","NA","left","NA","981","38806","NA","981","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","59473","56153","57239","10857","NA","57251","NA","10879","NA","61484","62466","58262","49737","61484","NA","Sternberg Task","2","2356","2","yes","1024"
"100","100","1063","1063","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","833","38806","NA","833","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","65786","62478","63554","10857","NA","63565","NA","10879","NA","67797","68631","64575","49737","67797","NA","Sternberg Task","3","3189","3","yes","1024"
"100","100","991.25","991.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","776","38806","NA","776","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","71953","68644","69722","10857","NA","69733","NA","10879","NA","73963","74740","70743","49737","73963","NA","Sternberg Task","4","3965","4","yes","1024"
"100","100","934.8","934.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","709","38806","NA","709","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","78071","74759","75838","10857","NA","75849","NA","10879","NA","80083","80793","76860","49737","80082","NA","Sternberg Task","5","4674","5","yes","1024"
"100","100","878","878","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","594","38806","NA","594","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","84114","80804","81883","10857","NA","81894","NA","10879","NA","86126","86721","82904","49737","86125","NA","Sternberg Task","6","5268","6","yes","1024"
"100","100","826.428571429","826.428571429","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","517","38806","NA","517","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","90042","86734","87811","10857","NA","87822","NA","10879","NA","92053","92572","88832","49737","92053","NA","Sternberg Task","7","5785","7","yes","1024"
"100","100","777.75","777.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","437","38806","NA","437","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","95894","92584","93662","10857","NA","93673","NA","10879","NA","97905","98343","94684","49737","97905","NA","Sternberg Task","8","6222","8","yes","1024"
"100","100","746","746","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","492","38806","NA","492","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","101667","98356","99434","10857","NA","99445","NA","10879","NA","103678","104171","100455","49737","103678","NA","Sternberg Task","9","6714","9","yes","1024"
"100","100","727.5","727.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Mon Oct  1 12:33:41 2018","The main experiment item","yes","SternbergTask.osexp","/Users/emorgan/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/emorgan/Desktop/EM subject-1, f, 25.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","right","NA","left","NA","561","38806","NA","561","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","107492","104183","105260","10857","NA","105271","NA","10879","NA","109503","110065","106281","49737","109503","NA","Sternberg Task","10","7275","10","yes","1024"
