"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_logger","count_memorySet","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_logger","time_memorySet","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","656","656","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","left","left","NA","left","NA","656","139713","NA","656","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","144908","NA","142679","2647","NA","142687","NA","2660","NA","146917","147575","143696","142379","146917","NA","Sternberg Task","0","656","1","yes","1024"
"50","50","937","937","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","left","NA","left","NA","1218","139713","NA","1218","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","4","150955","NA","148727","2647","NA","148735","147630","2660","NA","152963","154183","149745","142379","152963","NA","Sternberg Task","1","1874","2","yes","1024"
"66.6666666667","66.6666666667","937.666666667","937.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","left","NA","left","NA","939","139713","NA","939","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","157505","154195","155277","2647","NA","155285","147630","2660","NA","159514","160454","156295","142379","159514","NA","Sternberg Task","2","2813","3","yes","1024"
"75","75","900.25","900.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","788","139713","NA","788","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","163777","160466","161550","2647","NA","161558","147630","2660","NA","165785","166575","162566","142379","165785","NA","Sternberg Task","3","3601","4","yes","1024"
"80","80","875.8","875.8","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","778","139713","NA","778","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","169897","166588","167668","2647","NA","167676","147630","2660","NA","171906","172686","168685","142379","171906","NA","Sternberg Task","4","4379","5","yes","1024"
"83.3333333333","83.3333333333","828.833333333","828.833333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","594","139713","NA","594","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","176002","172696","173779","2647","NA","173787","147630","2660","NA","178010","178606","174795","142379","178010","NA","Sternberg Task","5","4973","6","yes","1024"
"85.7142857143","85.7142857143","825","825","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","left","NA","left","NA","802","139713","NA","802","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","5","181929","178617","179700","2647","NA","179708","147630","2660","NA","183938","184742","180717","142379","183937","NA","Sternberg Task","6","5775","7","yes","1024"
"87.5","87.5","835","835","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","905","139713","NA","905","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","188067","184753","185838","2647","NA","185846","147630","2660","NA","190075","190982","186856","142379","190075","NA","Sternberg Task","7","6680","8","yes","1024"
"88.8888888889","88.8888888889","813","813","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","637","139713","NA","637","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","194301","190992","192073","2647","NA","192081","147630","2660","NA","196311","196949","193091","142379","196310","NA","Sternberg Task","8","7317","9","yes","1024"
"90","90","816.1","816.1","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Wed Oct  3 13:42:13 2018","The main experiment item","yes","SternbergTask.osexp","/Users/abigailchristie/Desktop","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Users/abigailchristie/Desktop/2018/Faulkenberry/Lab2/subject-2.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","844","139713","NA","844","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","200271","196960","198042","2647","NA","198051","147630","2660","NA","202279","203125","199060","142379","202279","NA","Sternberg Task","9","8161","10","yes","1024"
