"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_ISI","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_logger","count_memorySet","count_new_keyboard_response","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_ISI","response_instruction1","response_instruction2","response_new_keyboard_response","response_thankYou","response_time","response_time_ISI","response_time_instruction1","response_time_instruction2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_logger","time_memorySet","time_new_keyboard_response","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","5993","5993","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","0","0","/Volumes/USB20FD/subject-3 m.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","4","right","NA","left","NA","5993","490","317853","NA","5993","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","322753","NA","320513","2377","NA","320524","NA","2397","NA","329249","321538","323255","320256","323255","NA","Sternberg Task","1","5993","1","yes","1024"
"100","100","3609","3609","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","1","1","/Volumes/USB20FD/subject-3 m.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","NA","left","NA","1225","6517","317853","NA","1225","NA","2","legacy","6","1024","2","48000","-16","experiment","3","odd","4","332667","329313","330427","2377","NA","330438","NA","2397","NA","340423","331451","339197","320256","339197","NA","Sternberg Task","2","7218","2","yes","1024"
"100","100","2720.33333333","2720.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","2","2","/Volumes/USB20FD/subject-3 m.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","left","left","right","NA","left","NA","943","12880","317853","NA","943","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","343795","340440","341549","2377","NA","341564","NA","2397","NA","357631","342580","356686","320256","356686","NA","Sternberg Task","3","8161","3","yes","1024"
"100","100","2230.5","2230.5","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","3","3","/Volumes/USB20FD/subject-3 m.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","NA","right","NA","761","1630","317853","NA","761","NA","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","360992","357643","358748","2377","NA","358758","NA","2397","NA","363399","359771","362637","320256","362637","NA","Sternberg Task","4","8922","4","yes","1024"
"100","100","1951.4","1951.4","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","4","4","/Volumes/USB20FD/subject-3 m.csv","legacy","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","left","right","NA","left","NA","835","450","317853","NA","835","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","366785","363412","364536","2377","NA","364548","NA","2397","NA","368082","365569","367246","320256","367246","NA","Sternberg Task","5","9757","5","yes","1024"
"100","100","1721.16666667","1721.16666667","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","5","5","/Volumes/USB20FD/subject-3 m.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","NA","right","NA","570","547","317853","NA","570","NA","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","371437","368098","369198","2377","NA","369208","NA","2397","NA","372567","370221","371996","320256","371996","NA","Sternberg Task","6","10327","6","yes","1024"
"100","100","1581.85714286","1581.85714286","black","practice","legacy","legacy","legacy","0","uniform","1","1","undefined","1","left","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","6","6","/Volumes/USB20FD/subject-3 m.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","left","left","right","NA","left","NA","746","1606","317853","NA","746","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","375924","372580","373689","2377","NA","373699","NA","2397","NA","378289","374712","377541","320256","377541","NA","Sternberg Task","7","11073","7","yes","1024"
"100","100","1451.375","1451.375","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","7","7","/Volumes/USB20FD/subject-3 m.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","NA","right","NA","538","2417","317853","NA","538","NA","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","381636","378301","379404","2377","NA","379414","NA","2397","NA","384603","380425","384064","320256","384064","NA","Sternberg Task","8","11611","8","yes","1024"
"100","100","1352.33333333","1352.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","8","8","/Volumes/USB20FD/subject-3 m.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","NA","right","NA","560","12","317853","NA","560","NA","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","387957","384615","385716","2377","NA","385726","NA","2397","NA","388543","386740","387982","320256","387982","NA","Sternberg Task","9","12171","9","yes","1024"
"100","100","1271.2","1271.2","black","practice","legacy","legacy","legacy","0","uniform","1","0","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct  7 19:02:45 2018","The main experiment item","yes","SternbergTask.osexp","/Volumes/USB20FD","no","mono","no","18","no","white","no","yes","768","legacy","9","9","/Volumes/USB20FD/subject-3 m.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","right","NA","right","NA","541","444","317853","NA","541","NA","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","391907","388559","389667","2377","NA","389678","NA","2397","NA","392906","390691","392364","320256","392364","NA","Sternberg Task","10","12712","10","yes","1024"
