"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1404","1404","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","2 9 4","Kafkaesque Koffka","3.2.5","3","y","0","left","right","NA","left","NA","1404","66083","NA","1404","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","71228","NA","68931","1719","NA","68993","NA","1751","NA","73232","70023","74636","67835","73231","NA","Sternburg task","1","1404","1","yes","1024"
"100","100","1258","1258","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","1112","66083","NA","1112","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","78680","74755","76389","1719","NA","76445","NA","1751","NA","80696","77474","81809","67835","80695","NA","Sternburg task","2","2516","2","yes","1024"
"100","100","1221","1221","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","6","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","1147","66083","NA","1147","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","85835","81879","83539","1719","NA","83601","NA","1751","NA","87852","84631","89000","67835","87851","NA","Sternburg task","3","3663","3","yes","1024"
"100","100","1174.25","1174.25","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","1 5 2 9","Kafkaesque Koffka","3.2.5","2","y","0","left","right","NA","left","NA","1034","66083","NA","1034","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","93002","89051","90694","1719","NA","90757","NA","1751","NA","95007","91797","96042","67835","95007","NA","Sternburg task","4","4697","4","yes","1024"
"100","100","1069.6","1069.6","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","4 8","Kafkaesque Koffka","3.2.5","1","y","0","left","right","NA","left","NA","651","66083","NA","651","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","100049","96100","97740","1719","NA","97802","NA","1751","NA","102064","98833","102716","67835","102064","NA","Sternburg task","5","5348","5","yes","1024"
"100","100","989.666666667","989.666666667","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","590","66083","NA","590","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","106702","102773","104408","1719","NA","104469","NA","1751","NA","108719","105499","109310","67835","108719","NA","Sternburg task","6","5938","6","yes","1024"
"100","100","965.714285714","965.714285714","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","822","66083","NA","822","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","113314","109364","111007","1719","NA","111067","NA","1751","NA","115318","112096","116141","67835","115318","NA","Sternburg task","7","6760","7","yes","1024"
"87.5","87.5","932","932","black","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","right","right","NA","right","NA","696","66083","NA","696","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","120134","116193","117837","1719","NA","117899","NA","1751","NA","122138","118930","122835","67835","122138","NA","Sternburg task","7","7456","8","yes","1024"
"88.8888888889","88.8888888889","892.333333333","892.333333333","black","practice","xpyriment","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","2 1","Kafkaesque Koffka","3.2.5","0","n","0","right","right","NA","right","NA","575","66083","NA","575","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","127207","116193","124896","1719","NA","124961","123263","1751","NA","129211","125989","129787","67835","129210","NA","Sternburg task","8","8031","9","yes","1024"
"80","80","861.7","861.7","black","practice","xpyriment","legacy","legacy","0","uniform","0","undefined","0","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/07/18 21:32:44","The main experiment item","yes","Sternburgtask.osexp","C:/Users/Owner/Documents","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Owner/Documents/ctsubject-1.csv","xpyriment","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","right","right","NA","right","NA","586","66083","NA","586","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","133788","129848","131509","1719","NA","131558","123263","1751","NA","135791","132583","136378","67835","135791","NA","Sternburg task","8","8617","10","yes","1024"
