"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboardResponse","correct_response","count_ISI","count_Practiceloop","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrect","count_instruction1","count_instructions2","count_keyboardResponse","count_logger","count_memorySet","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboardResponse","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboardResponse","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_Practiceloop","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrect","time_instruction1","time_instructions2","time_keyboardResponse","time_logger","time_memorySet","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"0","0","2000","2000","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","4 8","Kafkaesque Koffka","3.2.5","1","y","0","None","left","NA","None","NA","2000","21779","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","4","32826","25688","NA","30611","3875","NA","30615","NA","3879","NA","34831","36831","31620","34831","NA","Sternberg task","0","2000","1","yes","1024"
"50","50","1854.5","1854.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","0","1","1","0","0","1","1","0","0","1","1","1","1","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1709","21779","NA","1709","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","3","40403","25688","NA","38191","3875","NA","38193","37042","3879","NA","42409","44118","39197","42408","NA","Sternberg task","1","3709","2","yes","1024"
"33.3333333333","33.3333333333","1479","1479","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","2","0","2","2","0","0","2","2","0","0","2","2","2","2","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","6","Kafkaesque Koffka","3.2.5","1","y","0","right","left","NA","right","NA","728","21779","NA","728","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","6","47514","25688","44166","45303","3875","NA","45305","37042","3879","NA","49520","50248","46308","49519","NA","Sternberg task","1","4437","3","yes","1024"
"50","50","1537.25","1537.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","3","0","3","3","0","0","3","3","0","0","3","3","3","3","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1712","21779","NA","1712","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","6","53711","25688","44166","51499","3875","NA","51501","50294","3879","NA","55716","57429","52506","55716","NA","Sternberg task","2","6149","4","yes","1024"
"40","40","1379.4","1379.4","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","4","0","4","4","0","0","4","4","0","0","4","4","4","4","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","2 1","Kafkaesque Koffka","3.2.5","0","n","0","left","left","NA","left","NA","748","21779","NA","748","NA","2","legacy","2","1024","2","48000","-16","experiment","2","even","5","60834","25688","57471","58624","3875","NA","58626","50294","3879","NA","62840","63589","59629","62839","NA","Sternberg task","2","6897","5","yes","1024"
"33.3333333333","33.3333333333","1364.66666667","1364.66666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.5","4","y","0","right","left","NA","right","NA","1291","21779","NA","1291","NA","2","legacy","5","1024","2","48000","-16","experiment","2","even","8","66982","25688","57471","64770","3875","NA","64772","63634","3879","NA","68987","70278","65777","68987","NA","Sternberg task","2","8188","6","yes","1024"
"42.8571428571","42.8571428571","1318.71428571","1318.71428571","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","1043","21779","NA","1043","NA","2","legacy","4","1024","2","48000","-16","experiment","2","even","6","73679","25688","57471","71468","3875","NA","71470","70323","3879","NA","75685","76729","72475","75685","NA","Sternberg task","3","9231","7","yes","1024"
"50","50","1301.125","1301.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","0","7","7","0","0","7","7","0","0","7","7","7","7","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.5","1","y","0","left","left","NA","left","NA","1178","21779","NA","1178","NA","2","legacy","6","1024","2","48000","-16","experiment","2","even","4","80155","25688","76775","77943","3875","NA","77945","70323","3879","NA","82160","83340","78950","82160","NA","Sternberg task","4","10409","8","yes","1024"
"55.5555555556","55.5555555556","1249.66666667","1249.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","0","8","8","0","0","8","8","0","0","8","8","8","8","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.5","0","n","0","right","left","NA","right","NA","838","21779","NA","838","NA","2","legacy","3","1024","2","48000","-16","experiment","2","even","2","86726","25688","83382","84513","3875","NA","84515","70323","3879","NA","88730","89570","85520","88730","NA","Sternberg task","5","11247","9","yes","1024"
"50","50","1324.7","1324.7","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","0","9","9","0","0","9","9","0","0","9","9","9","9","0","10/04/18 18:53:01","The main experiment item","yes","Sternbergtask.osexp","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/hawkm/OneDrive/Desktop/Tarleton school stuff/Fall 2018/Advanced Quantitative Methods/Lab 2/Hawk-subject-2.csv","legacy","5","Kafkaesque Koffka","3.2.5","0","n","0","None","left","NA","None","NA","2000","21779","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","2","even","3","92949","25688","89620","90738","3875","NA","90741","70323","3879","NA","94956","96956","91745","94955","NA","Sternberg task","5","13247","10","yes","1024"
