"correct","format","problem","response","response_time","size","subject_nr","truth"
"1","word","five + three = eight","a","1477","small","2","T"
"1","word","four + five = thirteen","l","1760","small","2","F"
"1","word","six + six = nine","l","1063","large","2","F"
"1","digit","2 + 7 = 9","a","857","small","2","T"
"1","digit","3 + 9 = 12","a","1112","large","2","T"
"1","digit","9 + 6 = 11","l","940","large","2","F"
"1","digit","6 + 6 = 12","a","714","large","2","T"
"1","digit","8 + 8 = 13","l","764","large","2","F"
"1","word","eight + two = ten","a","1263","small","2","T"
"1","digit","5 + 8 = 13","a","1321","large","2","T"
"1","digit","6 + 5 = 14","l","796","large","2","F"
"1","digit","3 + 6 = 7","l","981","small","2","F"
"0","word","four + nine = thirteen","l","2308","large","2","T"
"1","word","five + two = four","l","1460","small","2","F"
"1","word","seven + five = fourteen","l","2639","large","2","F"
"1","word","six + eight = fourteen","a","1556","large","2","T"
"1","digit","2 + 5 = 11","l","1227","small","2","F"
"1","word","seven + nine = sixteen","a","1864","large","2","T"
"1","word","six + three = nine","a","1547","small","2","T"
"1","word","two + six = five","l","2011","small","2","F"
"1","digit","3 + 3 = 6","a","872","small","2","T"
"1","word","nine + six = fifteen","a","1568","large","2","T"
"1","word","two + two = four","a","1043","small","2","T"
"1","word","six + four = nine","l","1469","small","2","F"
"1","digit","2 + 9 = 11","a","782","small","2","T"
"1","word","seven + four = twelve","l","1755","large","2","F"
"1","word","seven + three = fourteen","l","1432","small","2","F"
"0","word","three + eight = twelve","a","2320","small","2","F"
"1","digit","5 + 4 = 9","a","1878","small","2","T"
"1","digit","4 + 4 = 9","l","1407","small","2","F"
"1","word","nine + five = eleven","l","2518","large","2","F"
"1","word","three + nine = twelve","a","1208","large","2","T"
"1","digit","6 + 4 = 10","a","1428","small","2","T"
"1","digit","5 + 7 = 12","a","1730","large","2","T"
"1","digit","3 + 4 = 7","a","797","small","2","T"
"1","digit","4 + 2 = 6","a","864","small","2","T"
"1","word","two + nine = eleven","a","2354","small","2","T"
"1","digit","9 + 8 = 15","l","1042","large","2","F"
"1","digit","7 + 7 = 14","a","659","large","2","T"
"1","word","eight + eight = eighteen","l","1367","large","2","F"
"1","word","four + four = eight","a","948","small","2","T"
"1","word","seven + six = thirteen","a","2241","large","2","T"
"1","word","six + five = ten","l","1735","large","2","F"
"1","word","five + five = eight","l","1127","small","2","F"
"1","word","eight + nine = sixteen","l","1422","large","2","F"
"1","digit","7 + 4 = 13","l","1280","large","2","F"
"1","digit","3 + 8 = 10","l","883","small","2","F"
"1","digit","7 + 3 = 12","l","1162","small","2","F"
"1","digit","2 + 2 = 6","l","841","small","2","F"
"1","digit","9 + 9 = 17","l","769","large","2","F"
"1","word","three + four = six","l","1623","small","2","F"
"1","digit","2 + 3 = 5","a","1140","small","2","T"
"1","digit","8 + 6 = 18","l","1496","large","2","F"
"1","digit","4 + 8 = 11","l","1331","large","2","F"
"1","word","eight + five = seventeen","l","2242","large","2","F"
"1","word","eight + seven = fifteen","a","2475","large","2","T"
"1","word","three + three = six","a","1373","small","2","T"
"1","word","four + eight = twelve","a","2452","large","2","T"
"1","digit","9 + 5 = 16","l","1616","large","2","F"
"1","word","seven + seven = fourteen","a","1250","large","2","T"
"1","digit","5 + 3 = 4","l","990","small","2","F"
"1","digit","4 + 9 = 13","a","1376","large","2","T"
"1","word","two + four = six","a","1724","small","2","T"
"1","digit","2 + 8 = 10","a","716","small","2","T"
"1","word","three + two = seven","l","1356","small","2","F"
"1","digit","6 + 7 = 13","a","960","large","2","T"
"1","digit","7 + 8 = 15","a","1170","large","2","T"
"1","digit","6 + 2 = 5","l","1375","small","2","F"
"1","digit","5 + 5 = 8","l","3421","small","2","F"
"1","word","nine + nine = fifteen","l","20543","large","2","F"
"1","digit","7 + 9 = 16","a","1590","large","2","T"
"1","word","seven + two = nine","a","1338","small","2","T"
"1","word","two + eight = eleven","l","1533","small","2","F"
"1","word","six + four = ten","a","2679","small","2","T"
"1","word","three + five = twelve","l","5179","small","2","F"
"1","digit","4 + 6 = 13","l","936","small","2","F"
"1","word","four + nine = sixteen","l","1410","large","2","F"
"1","word","nine + nine = eighteen","a","1146","large","2","T"
"1","digit","2 + 2 = 4","a","690","small","2","T"
"1","digit","4 + 4 = 8","a","699","small","2","T"
"1","word","five + seven = twelve","a","1797","large","2","T"
"1","digit","2 + 9 = 8","l","1350","small","2","F"
"1","digit","4 + 9 = 16","l","930","large","2","F"
"1","digit","2 + 8 = 7","l","952","small","2","F"
"1","word","two + two = five","l","1077","small","2","F"
"1","word","eight + six = seventeen","l","1948","large","2","F"
"1","digit","6 + 9 = 15","a","1035","large","2","T"
"1","digit","5 + 2 = 7","a","852","small","2","T"
"1","word","four + three = seven","a","1528","small","2","T"
"1","word","five + five = ten","a","1152","small","2","T"
"1","digit","3 + 7 = 10","a","722","small","2","T"
"1","word","three + six = seven","l","3510","small","2","F"
"1","word","two + five = seven","a","3786","small","2","T"
"1","word","four + four = six","l","5375","small","2","F"
"1","digit","8 + 6 = 14","a","1449","large","2","T"
"1","word","seven + seven = fifteen","l","1704","large","2","F"
"1","word","nine + five = fourteen","a","2199","large","2","T"
"1","digit","5 + 7 = 11","l","7510","large","2","F"
"1","digit","7 + 9 = 13","l","1253","large","2","F"
"1","digit","6 + 5 = 11","a","860","large","2","T"
"1","digit","3 + 6 = 9","a","1564","small","2","T"
"1","word","seven + six = twelve","l","2025","large","2","F"
"1","word","six + nine = fourteen","l","3453","large","2","F"
"1","digit","7 + 4 = 11","a","812","large","2","T"
"1","word","three + nine = eleven","l","5349","large","2","F"
"1","word","six + six = twelve","a","3588","large","2","T"
"1","digit","8 + 3 = 11","a","824","small","2","T"
"1","word","five + four = nine","a","2854","small","2","T"
"1","digit","4 + 3 = 9","l","1182","small","2","F"
"1","word","seven + eight = thirteen","l","1758","large","2","F"
"1","digit","3 + 3 = 7","l","961","small","2","F"
"1","digit","8 + 8 = 16","a","691","large","2","T"
"1","word","seven + four = eleven","a","1981","large","2","T"
"1","word","three + two = five","a","1607","small","2","T"
"1","digit","8 + 4 = 12","a","1435","large","2","T"
"1","word","three + three = four","l","1806","small","2","F"
"1","word","seven + nine = eighteen","l","1893","large","2","F"
"1","word","three + seven = ten","a","1236","small","2","T"
"1","digit","3 + 2 = 4","l","1120","small","2","F"
"1","word","eight + three = eleven","a","2401","small","2","T"
"1","word","eight + nine = seventeen","a","1904","large","2","T"
"1","word","five + eight = thirteen","a","1835","large","2","T"
"1","digit","7 + 2 = 6","l","939","small","2","F"
"1","digit","3 + 9 = 10","l","880","large","2","F"
"1","digit","5 + 4 = 11","l","834","small","2","F"
"1","word","four + eight = nine","l","1559","large","2","F"
"1","word","eight + eight = sixteen","a","1262","large","2","T"
"1","digit","5 + 5 = 10","a","706","small","2","T"
"1","word","six + two = eight","a","1400","small","2","T"
"1","digit","9 + 5 = 14","a","1153","large","2","T"
"1","digit","6 + 2 = 8","a","830","small","2","T"
"1","digit","7 + 7 = 18","l","771","large","2","F"
"1","digit","9 + 8 = 17","a","1042","large","2","T"
"1","word","two + seven = eight","l","1275","small","2","F"
"1","digit","8 + 7 = 12","l","1083","large","2","F"
"1","digit","6 + 6 = 15","l","898","large","2","F"
"1","digit","4 + 2 = 5","l","738","small","2","F"
"0","digit","6 + 7 = 14","a","1074","large","2","F"
"1","word","two + nine = ten","l","1276","small","2","F"
"1","word","six + five = eleven","a","1450","large","2","T"
"1","word","two + four = nine","l","1607","small","2","F"
"1","digit","5 + 8 = 17","l","888","large","2","F"
"1","digit","9 + 9 = 18","a","766","large","2","T"
"1","digit","3 + 5 = 8","a","953","small","2","T"
"1","word","four + four = eight","a","961","small","2","T"
"1","word","two + three = four","l","999","small","2","F"
"1","digit","2 + 7 = 9","a","698","small","2","T"
"1","digit","9 + 9 = 16","l","766","large","2","F"
"1","digit","6 + 9 = 12","l","825","large","2","F"
"1","word","six + eight = fourteen","a","1412","large","2","T"
"1","digit","5 + 8 = 13","a","747","large","2","T"
"1","word","six + four = eight","l","1457","small","2","F"
"1","word","nine + eight = eighteen","l","1656","large","2","F"
"1","digit","4 + 4 = 10","l","698","small","2","F"
"1","word","five + eight = fifteen","l","2004","large","2","F"
"1","digit","6 + 2 = 11","l","1157","small","2","F"
"1","word","four + two = six","a","2079","small","2","T"
"1","word","two + two = four","a","1198","small","2","T"
"1","digit","3 + 4 = 7","a","778","small","2","T"
"1","digit","6 + 7 = 13","a","814","large","2","T"
"1","word","nine + four = thirteen","a","1538","large","2","T"
"1","digit","5 + 6 = 13","l","1428","large","2","F"
"1","word","four + five = ten","l","1294","small","2","F"
"1","word","eight + three = seven","l","1775","small","2","F"
"1","word","five + five = nine","l","1185","small","2","F"
"1","word","six + seven = thirteen","a","1915","large","2","T"
"1","word","six + six = eleven","l","1139","large","2","F"
"1","word","seven + eight = fifteen","a","1763","large","2","T"
"1","word","seven + seven = fourteen","a","1283","large","2","T"
"1","word","two + five = six","l","1345","small","2","F"
"1","digit","2 + 2 = 5","l","850","small","2","F"
"1","digit","8 + 8 = 15","l","729","large","2","F"
"1","digit","5 + 5 = 12","l","937","small","2","F"
"1","digit","7 + 7 = 14","a","725","large","2","T"
"1","word","three + four = five","l","1556","small","2","F"
"1","digit","6 + 8 = 17","l","893","large","2","F"
"1","digit","2 + 8 = 10","a","1019","small","2","T"
"1","digit","8 + 7 = 15","a","742","large","2","T"
"1","word","six + two = seven","l","1245","small","2","F"
"1","digit","6 + 6 = 12","a","674","large","2","T"
"1","digit","3 + 6 = 8","l","939","small","2","F"
"1","digit","7 + 5 = 12","a","789","large","2","T"
"1","word","eight + four = twelve","a","1589","large","2","T"
"1","word","six + nine = fifteen","a","1919","large","2","T"
"1","digit","7 + 3 = 6","l","902","small","2","F"
"0","digit","7 + 4 = 12","a","744","large","2","F"
"1","digit","9 + 2 = 11","a","789","small","2","T"
"1","word","nine + five = twelve","l","2078","large","2","F"
"1","digit","5 + 4 = 9","a","768","small","2","T"
"1","digit","9 + 8 = 14","l","1075","large","2","F"
"1","digit","5 + 3 = 7","l","769","small","2","F"
"1","digit","3 + 9 = 12","a","1027","large","2","T"
"1","digit","8 + 4 = 13","l","764","large","2","F"
"1","digit","9 + 5 = 18","l","855","large","2","F"
"1","digit","7 + 9 = 16","a","1074","large","2","T"
"0","digit","4 + 9 = 13","l","1055","large","2","T"
"1","word","six + three = nine","a","1482","small","2","T"
"1","digit","3 + 3 = 6","a","683","small","2","T"
"1","word","three + nine = twelve","a","1772","large","2","T"
"1","digit","2 + 5 = 4","l","844","small","2","F"
"1","word","five + three = eight","a","1726","small","2","T"
"1","word","four + seven = fifteen","l","1747","large","2","F"
"1","word","three + three = six","a","965","small","2","T"
"1","word","five + seven = sixteen","l","2450","large","2","F"
"1","word","two + nine = eleven","a","1298","small","2","T"
"1","word","eight + eight = thirteen","l","1193","large","2","F"
"0","digit","3 + 2 = 5","l","890","small","2","T"
"1","word","nine + nine = seventeen","l","1382","large","2","F"
"1","digit","4 + 2 = 6","a","807","small","2","T"
"1","word","two + seven = nine","a","1235","small","2","T"
"1","digit","3 + 8 = 9","l","1068","small","2","F"
"1","word","six + five = fourteen","l","1635","large","2","F"
"1","digit","4 + 6 = 10","a","802","small","2","T"
"1","word","two + eight = ten","a","1439","small","2","T"
"1","word","seven + nine = sixteen","a","1749","large","2","T"
"1","word","three + seven = twelve","l","1442","small","2","F"
"1","digit","6 + 5 = 11","a","959","large","2","T"
"1","digit","2 + 9 = 12","l","1075","small","2","F"
"1","word","five + three = four","l","1398","small","2","F"
"1","digit","3 + 7 = 10","a","771","small","2","T"
"1","word","six + seven = eleven","l","1621","large","2","F"
"1","word","six + three = eleven","l","1415","small","2","F"
"1","digit","9 + 3 = 11","l","1156","large","2","F"
"1","digit","2 + 7 = 8","l","1222","small","2","F"
"1","digit","5 + 2 = 7","a","993","small","2","T"
"1","digit","8 + 8 = 16","a","704","large","2","T"
"1","word","six + four = ten","a","2065","small","2","T"
"1","digit","4 + 4 = 8","a","1237","small","2","T"
"1","word","six + six = twelve","a","1119","large","2","T"
"1","word","eight + six = eighteen","l","1445","large","2","F"
"1","digit","2 + 2 = 4","a","696","small","2","T"
"1","word","four + nine = fourteen","l","2216","large","2","F"
"1","word","seven + five = twelve","a","1516","large","2","T"
"1","word","five + eight = thirteen","a","1722","large","2","T"
"1","word","three + seven = ten","a","1393","small","2","T"
"0","word","eight + eight = sixteen","l","1396","large","2","T"
"1","digit","4 + 9 = 17","l","1330","large","2","F"
"1","word","four + two = seven","l","1245","small","2","F"
"1","word","nine + three = thirteen","l","2245","large","2","F"
"1","digit","2 + 6 = 8","a","873","small","2","T"
"1","word","three + three = ten","l","1568","small","2","F"
"1","word","two + five = seven","a","1596","small","2","T"
"1","word","nine + eight = seventeen","a","3367","large","2","T"
"1","word","three + four = seven","a","1602","small","2","T"
"1","digit","3 + 4 = 5","l","1144","small","2","F"
"1","digit","4 + 6 = 9","l","1032","small","2","F"
"1","word","seven + seven = seventeen","l","1132","large","2","F"
"1","digit","5 + 7 = 10","l","1050","large","2","F"
"1","digit","6 + 6 = 14","l","912","large","2","F"
"1","word","two + two = eight","l","1151","small","2","F"
"1","digit","3 + 3 = 4","l","841","small","2","F"
"1","word","eight + four = fifteen","l","1642","large","2","F"
"1","digit","2 + 4 = 10","l","852","small","2","F"
"1","digit","7 + 4 = 11","a","841","large","2","T"
"1","digit","5 + 4 = 6","l","888","small","2","F"
"1","digit","9 + 7 = 12","l","1030","large","2","F"
"1","word","five + five = ten","a","1153","small","2","T"
"1","digit","5 + 8 = 16","l","1034","large","2","F"
"1","digit","6 + 7 = 15","l","2747","large","2","F"
"1","digit","3 + 2 = 7","l","869","small","2","F"
"1","digit","6 + 3 = 9","a","834","small","2","T"
"1","word","nine + two = six","l","1985","small","2","F"
"1","digit","8 + 2 = 11","l","845","small","2","F"
"1","word","five + nine = fourteen","a","2204","large","2","T"
"1","word","two + seven = five","l","2928","small","2","F"
"1","word","eight + seven = twelve","l","1379","large","2","F"
"1","word","six + five = eleven","a","1688","large","2","T"
"1","digit","9 + 5 = 14","a","1658","large","2","T"
"0","word","seven + nine = fifteen","a","1566","large","2","F"
"1","digit","3 + 8 = 11","a","1032","small","2","T"
"1","digit","9 + 6 = 15","a","1063","large","2","T"
"1","digit","5 + 3 = 8","a","1164","small","2","T"
"1","word","nine + nine = eighteen","a","1152","large","2","T"
"1","digit","8 + 9 = 17","a","931","large","2","T"
"1","digit","8 + 6 = 14","a","1366","large","2","T"
"1","word","eight + three = eleven","a","1522","small","2","T"
"1","word","seven + four = eleven","a","1449","large","2","T"
"1","digit","7 + 7 = 13","l","829","large","2","F"
"1","word","six + two = eight","a","1169","small","2","T"
"1","word","two + three = five","a","1210","small","2","T"
"1","word","four + five = nine","a","1432","small","2","T"
"1","word","eight + two = nine","l","1222","small","2","F"
"1","word","six + nine = sixteen","l","1936","large","2","F"
"1","digit","7 + 8 = 18","l","843","large","2","F"
"1","digit","8 + 4 = 12","a","997","large","2","T"
"1","digit","9 + 9 = 18","a","690","large","2","T"
"1","word","four + four = seven","l","999","small","2","F"
"1","digit","5 + 5 = 10","a","691","small","2","T"
