correct,format,problem,response,response_time,size,subject_nr,truth
1,digit,9 + 9 = 17,l,2195,large,2,F
1,digit,7 + 4 = 13,l,2434,large,2,F
1,word,three + nine = twelve,a,2664,large,2,T
0,word,four + four = eight,l,1185,small,2,T
1,digit,5 + 7 = 12,a,2756,large,2,T
1,digit,6 + 5 = 14,l,2745,large,2,F
1,word,four + five = thirteen,l,2673,small,2,F
1,word,nine + six = fifteen,a,4195,large,2,T
1,digit,3 + 9 = 12,a,1742,large,2,T
1,word,eight + nine = sixteen,l,5554,large,2,F
1,word,eight + eight = eighteen,l,3021,large,2,F
1,word,eight + five = seventeen,l,4121,large,2,F
1,word,two + two = four,a,1267,small,2,T
1,digit,8 + 6 = 18,l,5064,large,2,F
1,word,seven + two = nine,a,1797,small,2,T
1,word,two + six = five,l,1751,small,2,F
1,digit,9 + 6 = 11,l,2108,large,2,F
1,digit,3 + 3 = 6,a,1118,small,2,T
1,digit,2 + 3 = 5,a,1270,small,2,T
1,word,six + eight = fourteen,a,3591,large,2,T
1,digit,7 + 7 = 14,a,1090,large,2,T
1,digit,6 + 7 = 13,a,2406,large,2,T
1,digit,5 + 8 = 13,a,2919,large,2,T
0,digit,6 + 4 = 10,l,1880,small,2,T
1,word,eight + seven = fifteen,a,4616,large,2,T
0,digit,4 + 8 = 11,a,2224,large,2,F
1,digit,2 + 5 = 11,l,3074,small,2,F
1,digit,8 + 8 = 13,l,2030,large,2,F
1,word,six + three = nine,a,3566,small,2,T
1,word,four + eight = twelve,a,2586,large,2,T
1,word,five + three = eight,a,2703,small,2,T
1,word,three + four = six,l,3679,small,2,F
1,word,six + six = nine,l,1833,large,2,F
1,word,seven + four = twelve,l,3689,large,2,F
1,digit,9 + 8 = 15,l,2522,large,2,F
1,digit,4 + 9 = 13,a,3362,large,2,T
1,digit,2 + 2 = 6,l,1519,small,2,F
1,word,four + nine = thirteen,a,2434,large,2,T
1,word,three + two = seven,l,2679,small,2,F
1,digit,3 + 6 = 7,l,2732,small,2,F
1,word,nine + five = eleven,l,1982,large,2,F
1,digit,6 + 2 = 5,l,2366,small,2,F
1,digit,7 + 8 = 15,a,2378,large,2,T
1,word,five + five = eight,l,2207,small,2,F
1,word,seven + nine = sixteen,a,2249,large,2,T
0,digit,7 + 9 = 16,l,4963,large,2,T
1,digit,9 + 5 = 16,l,3033,large,2,F
1,word,eight + two = ten,a,1574,small,2,T
1,digit,5 + 4 = 9,a,1757,small,2,T
1,digit,4 + 4 = 9,l,1137,small,2,F
1,digit,6 + 6 = 12,a,1064,large,2,T
1,word,seven + five = fourteen,l,4003,large,2,F
1,digit,5 + 3 = 4,l,1541,small,2,F
1,word,six + five = ten,l,2717,large,2,F
1,word,three + eight = twelve,l,3417,small,2,F
1,digit,2 + 9 = 11,a,1436,small,2,T
1,word,seven + seven = fourteen,a,1423,large,2,T
1,word,seven + six = thirteen,a,3406,large,2,T
1,digit,5 + 5 = 8,l,1484,small,2,F
0,digit,7 + 3 = 12,a,1796,small,2,F
1,word,seven + three = fourteen,l,2265,small,2,F
1,word,three + three = six,a,1358,small,2,T
1,digit,3 + 4 = 7,a,2275,small,2,T
1,word,five + two = four,l,1890,small,2,F
1,word,two + nine = eleven,a,1706,small,2,T
1,word,nine + nine = fifteen,l,1964,large,2,F
1,digit,3 + 8 = 10,l,2325,small,2,F
1,digit,4 + 2 = 6,a,1821,small,2,T
1,digit,2 + 8 = 10,a,1270,small,2,T
1,word,six + four = nine,l,5031,small,2,F
1,digit,2 + 7 = 9,a,1202,small,2,T
1,word,two + four = six,a,1785,small,2,T
1,word,four + four = six,l,1129,small,2,F
1,digit,8 + 4 = 12,a,1856,large,2,T
1,digit,4 + 2 = 5,l,1915,small,2,F
1,word,eight + eight = sixteen,a,2305,large,2,T
1,word,three + five = twelve,l,3294,small,2,F
1,word,five + eight = thirteen,a,4368,large,2,T
1,digit,7 + 9 = 13,l,3010,large,2,F
1,word,two + eight = eleven,l,1854,small,2,F
1,word,six + five = eleven,a,2875,large,2,T
1,word,seven + seven = fifteen,l,1509,large,2,F
1,digit,9 + 9 = 18,a,2143,large,2,T
1,word,nine + nine = eighteen,a,1432,large,2,T
1,word,three + nine = eleven,l,3106,large,2,F
1,digit,8 + 7 = 12,l,1832,large,2,F
1,digit,7 + 4 = 11,a,2388,large,2,T
0,word,seven + nine = eighteen,a,3809,large,2,F
1,digit,6 + 7 = 14,l,2292,large,2,F
1,word,seven + six = twelve,l,3624,large,2,F
1,word,four + three = seven,a,1823,small,2,T
1,word,three + three = four,l,1909,small,2,F
1,word,five + four = nine,a,2944,small,2,T
1,digit,3 + 7 = 10,a,2194,small,2,T
1,digit,6 + 6 = 15,l,1171,large,2,F
1,digit,5 + 7 = 11,l,3420,large,2,F
0,digit,8 + 6 = 14,l,4866,large,2,T
1,digit,5 + 4 = 11,l,1764,small,2,F
1,word,nine + five = fourteen,a,2883,large,2,T
1,digit,3 + 9 = 10,l,2175,large,2,F
1,digit,2 + 9 = 8,l,1722,small,2,F
1,word,five + five = ten,a,1574,small,2,T
1,digit,9 + 8 = 17,a,4612,large,2,T
1,digit,8 + 8 = 16,a,1156,large,2,T
1,digit,6 + 9 = 15,a,1861,large,2,T
1,word,two + four = nine,l,2168,small,2,F
1,digit,7 + 2 = 6,l,1922,small,2,F
1,word,three + two = five,a,1585,small,2,T
1,digit,6 + 5 = 11,a,2168,large,2,T
1,word,two + nine = ten,l,1471,small,2,F
1,digit,5 + 5 = 10,a,747,small,2,T
1,word,seven + eight = thirteen,l,4529,large,2,F
1,digit,2 + 8 = 7,l,1408,small,2,F
1,word,six + six = twelve,a,1011,large,2,T
1,digit,3 + 6 = 9,a,1337,small,2,T
1,digit,5 + 8 = 17,l,3186,large,2,F
1,digit,8 + 3 = 11,a,1994,small,2,T
1,digit,9 + 5 = 14,a,1471,large,2,T
1,word,six + two = eight,a,1521,small,2,T
1,word,six + four = ten,a,2385,small,2,T
1,digit,3 + 3 = 7,l,1061,small,2,F
1,word,five + seven = twelve,a,3302,large,2,T
1,word,seven + four = eleven,a,3405,large,2,T
1,digit,4 + 6 = 13,l,1191,small,2,F
1,word,three + six = seven,l,2060,small,2,F
1,word,two + seven = eight,l,2111,small,2,F
1,digit,3 + 2 = 4,l,1518,small,2,F
1,word,eight + nine = seventeen,a,3907,large,2,T
