subj,LOP,wordType,numWords
AT1,shallow,concrete,4
AT1,shallow,abstract,2
AT2,shallow,concrete,3
AT2,shallow,abstract,1
AT3,shallow,concrete,5
AT3,shallow,abstract,2
AT4,deep,concrete,3
AT4,deep,abstract,4
AT5,deep,concrete,2
AT5,deep,abstract,4
AT6,deep,concrete,3
AT6,deep,abstract,5
AH1,shallow,concrete,3
AH1,shallow,abstract,0
AH2,shallow,concrete,2
AH2,shallow,abstract,4
AH3,shallow,concrete,5
AH3,shallow,abstract,2
AH4,deep,concrete,5
AH4,deep,abstract,6
AH5,deep,concrete,7
AH5,deep,abstract,2
AH6,deep,concrete,8
AH6,deep,abstract,5
MB1,shallow,concrete,1
MB1,shallow,abstract,3
MB2,shallow,concrete,3
MB2,shallow,abstract,1
MB3,shallow,concrete,3
MB3,shallow,abstract,3
MB4,deep,concrete,4
MB4,deep,abstract,1
MB5,deep,concrete,3
MB5,deep,abstract,5
MB6,deep,concrete,5
MB6,deep,abstract,4
RM1,shallow,concrete,7
RM1,shallow,abstract,3
RM2,shallow,concrete,4
RM2,shallow,abstract,6
RM3,shallow,concrete,4
RM3,shallow,abstract,5
RM4,deep,concrete,7
RM4,deep,abstract,3
RM5,deep,concrete,8
RM5,deep,abstract,5
RM6,deep,concrete,8
RM6,deep,abstract,7
MM1,shallow,concrete,1
MM1,shallow,abstract,4
MM2,shallow,concrete,6
MM2,shallow,abstract,5
MM3,shallow,concrete,4
MM3,shallow,abstract,2
MM4,deep,concrete,8
MM4,deep,abstract,3
MM5,deep,concrete,7
MM5,deep,abstract,6
MM6,deep,concrete,5
MM6,deep,abstract,4
DC1,shallow,concrete,2
DC1,shallow,abstract,2
DC2,shallow,concrete,2
DC2,shallow,abstract,2
DC3,shallow,concrete,3
DC3,shallow,abstract,3
DC4,deep,concrete,4
DC4,deep,abstract,4
DC5,deep,concrete,4
DC5,deep,abstract,6
DC6,deep,concrete,4
DC6,deep,abstract,5
BH1,shallow,concrete,2
BH1,shallow,abstract,3
BH2,shallow,concrete,5
BH2,shallow,abstract,2
BH3,shallow,concrete,2
BH3,shallow,abstract,3
BH4,deep,concrete,9
BH4,deep,abstract,5
BH5,deep,concrete,3
BH5,deep,abstract,1
BH6,deep,concrete,7
BH6,deep,abstract,3
JM1,shallow,concrete,2
JM1,shallow,abstract,5
JM2,shallow,concrete,3
JM2,shallow,abstract,3
JM3,shallow,concrete,5
JM3,shallow,abstract,1
JM4,deep,concrete,6
JM4,deep,abstract,5
JM5,deep,concrete,9
JM5,deep,abstract,6
JM6,deep,concrete,7
JM6,deep,abstract,6
AR1,shallow,concrete,6
AR1,shallow,abstract,4
AR2,shallow,concrete,7
AR2,shallow,abstract,5
AR4,deep,concrete,9
AR4,deep,abstract,4
AR5,deep,concrete,9
AR5,deep,abstract,5
HT1,shallow,concrete,4
HT1,shallow,abstract,2
HT2,shallow,concrete,4
HT2,shallow,abstract,0
HT3,shallow,concrete,2
HT3,shallow,abstract,1
HT4,deep,concrete,6
HT4,deep,abstract,3
HT5,deep,concrete,3
HT5,deep,abstract,3
HT6,deep,concrete,6
HT6,deep,abstract,2
ML1,shallow,concrete,1
ML1,shallow,abstract,4
ML2,shallow,concrete,4
ML2,shallow,abstract,3
ML3,shallow,concrete,3
ML3,shallow,abstract,1
ML4,deep,concrete,4
ML4,deep,abstract,5
ML5,deep,concrete,4
ML5,deep,abstract,8
ML6,deep,concrete,5
ML6,deep,abstract,4
KV1,shallow,concrete,4
KV1,shallow,abstract,2
KV2,shallow,concrete,3
KV2,shallow,abstract,5
KV3,shallow,concrete,6
KV3,shallow,abstract,2
KV4,deep,concrete,5
KV4,deep,abstract,3
KV5,deep,concrete,4
KV5,deep,abstract,6
KV6,deep,concrete,4
KV6,deep,abstract,5
JD1,shallow,concrete,3
JD1,shallow,abstract,6
JD2,shallow,concrete,5
JD2,shallow,abstract,6
JD3,shallow,concrete,4
JD3,shallow,abstract,6
JD4,deep,concrete,5
JD4,deep,abstract,6
JD5,deep,concrete,7
JD5,deep,abstract,5
JD6,deep,concrete,4
JD6,deep,abstract,9
RS1,shallow,concrete,4
RS1,shallow,abstract,3
RS2,shallow,concrete,4
RS2,shallow,abstract,5
RS3,shallow,concrete,5
RS3,shallow,abstract,4
RS4,deep,concrete,7
RS4,deep,abstract,6
RS5,deep,concrete,6
RS5,deep,abstract,4
RS6,deep,concrete,8
RS6,deep,abstract,5
CR1,shallow,concrete,5
CR1,shallow,abstract,1
CR2,shallow,concrete,5
CR2,shallow,abstract,2
CR3,shallow,concrete,4
CR3,shallow,abstract,4
CR4,deep,concrete,7
CR4,deep,abstract,6
CR5,deep,concrete,7
CR5,deep,abstract,7
CR6,deep,concrete,7
CR6,deep,abstract,5
AD1,shallow,concrete,3
AD1,shallow,abstract,3
AD2,shallow,concrete,1
AD2,shallow,abstract,2
AD3,shallow,concrete,4
AD3,shallow,abstract,1
AD4,deep,concrete,3
AD4,deep,abstract,4
AD5,deep,concrete,7
AD5,deep,abstract,6
AD6,deep,concrete,6
AD6,deep,abstract,5
