HM,SUICIDE
10,7
10,11
10,8
4,14
10,13
8,12
8,7
5,15
8,7
9,10
10,12
1,10
4,11
8,8
3,9
5,12
10,7
10,9
7,9
8,11
8,11
9,9
5,14
8,8
0,19
9,13
10,11
7,14
8,12
7,10
10,26
4,11
8,11
3,13
2,18
5,13
0,31
8,8
3,32
8,9
7,18
10,9
4,13
10,8
2,9
0,23
10,9
10,9
5,8
9,11
5,8
5,10
3,13
5,8
0,7
4,10
8,13
2,9
3,11
2,25
5,21
2,12
6,14
7,13
10,9
10,7
5,11
10,7
0,19
10,6
2,35
10,14
10,11
7,8
8,10
10,7
5,9
8,15
7,10
9,12
7,9
10,14
10,8
10,6
8,5
3,16
2,9
10,6
8,10
9,15
6,19
0,20
1,30
4,19
10,7
5,11
4,29
6,9
5,10
7,11
9,14
5,2
9,7
8,7
4,14
10,13
7,11
5,10
6,8
7,12
7,7
8,9
7,12
10,9
2,19
7,12
7,11
7,12
0,14
1,9
2,11
5,9
3,10
9,12
10,8
10,5
8,5
5,14
10,12
1,12
5,7
10,9
4,6
6,6
4,16
2,25
1,14
10,14
10,10
10,17
5,10
0,10
8,9
7,24
7,17
1,11
6,13
7,11
10,5
4,9
6,8
1,27
4,32
9,12
10,7
7,12
7,12
7,19
10,7
7,9
10,12
10,19
8,16
4,12
8,8
1,19
2,12
4,10
10,10
2,12
2,13
3,18
4,19
0,8
8,7
8,17
10,10
3,25
7,19
2,13
6,11
7,12
10,4
10,7
10,21
7,15
0,14
10,10
10,15
8,6
5,16
2,12
6,12
4,18
10,9
7,11
4,23
8,13
9,12
10,7
10,9
10,9
10,7
4,9
10,11
5,12
10,7
10,12
10,12
10,23
10,4
4,14
10,2
3,17
2,12
4,12
10,4
4,19
1,16
10,8
7,25
2,18
5,10
5,13
10,8
8,16
5,19
10,7
10,7
9,11
3,17
10,12
10,8
10,10
5,9
10,4
10,8
2,28
4,19
10,7
7,10
2,21
8,14
6,12
10,14
10,12
10,6
6,4
10,12
4,9
4,11
2,3
2,11
1,18
10,7
7,21
4,6
5,11
5,14
8,7
3,7
1,10
10,10
5,7
8,23
8,9
10,11
10,12
5,29
7,10
9,12
10,12
9,6
10,7
7,8
10,16
10,7
10,14
7,14
7,13
5,10
10,9
10,10
10,7
2,25
10,7
6,24
1,7
10,9
10,9
4,13
10,10
10,9
6,10
4,22
0,22
2,9
5,12
8,7
3,9
10,8
8,13
6,12
0,13
4,14
6,14
8,12
10,19
8,12
5,7
10,7
2,16
10,9
9,4
8,12
4,18
10,13
10,27
10,8
10,8
7,17
0,23
0,6
8,12
8,8
5,23
1,13
10,5
10,20
10,12
5,24
8,8
10,11
8,8
5,20
9,13
7,9
6,18
10,9
9,10
2,35
0,20
10,8
10,7
10,12
4,15
7,10
2,22
10,9
4,5
10,10
7,13
10,7
10,9
10,32
7,11
10,4
2,27
6,13
10,10
10,12
9,12
3,10
10,9
10,10
7,9
10,7
10,11
3,9
8,9
10,17
10,8
6,11
8,18
10,12
8,12
10,7
10,8
7,11
10,12
10,7
7,8
9,10
7,8
10,9
10,9
10,10
4,10
7,12
8,7
0,21
3,9
5,13
5,17
10,13
9,12
10,10
4,17
10,12
7,10
9,4
10,12
0,16
4,10
4,13
2,12
10,8
2,16
10,9
3,18
10,7
7,12
10,7
9,11
10,11
3,18
5,23
4,12
0,7
7,7
10,13
10,9
10,6
7,12
6,10
4,10
5,20
10,8
10,12
10,12
4,14
9,7
6,8
10,9
7,11
6,9
2,11
7,9
10,11
10,6
10,12
2,10
5,11
6,26
6,12
3,14
7,11
6,14
5,9
10,12
10,12
10,12
7,18
6,12
3,13
7,7
10,14
6,12
9,7
2,12
10,12
10,7
10,9
5,17
10,9
7,10
10,5
7,13
9,8
1,23
10,10
10,13
7,22
7,6
7,14
10,13
5,16
