acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,condition,correct,correct_instructions1,correct_keyboard_response,correct_response,count_ISI,count_block1,count_block2,count_block3,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_logger,count_new_sketchpad,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_new_sketchpad,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,response_time_new_sketchpad,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_ISI,time_block1,time_block2,time_block3,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_logger,time_new_sketchpad,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,width
100,100,903,903,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,0,0,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,903,NA,33649,NA,NA,903,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,NA,34991,NA,NA,NA,1338,NA,NA,35036,1341,NA,NA,35137,36040,NA,35035,35137,Flanker Task,1,903,1,1024
100,100,717,717,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,1,0,0,0,1,0,1,0,1,0,0,0,1,1,NA,1,1,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,1,1,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,531,NA,33649,NA,NA,531,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,36047,34991,NA,NA,NA,1338,NA,NA,37075,1341,NA,NA,37176,37708,NA,37073,37176,Flanker Task,2,1434,2,1024
100,100,675,675,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,2,0,0,0,2,0,2,0,2,0,0,0,2,2,NA,2,2,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,2,2,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,592,NA,33649,NA,NA,592,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,37712,34991,NA,NA,NA,1338,NA,NA,38741,1341,NA,NA,38842,39434,NA,38739,38842,Flanker Task,3,2026,3,1024
75,75,626,626,black,legacy,legacy,legacy,incongruent,0,undefined,0,h,3,0,0,0,3,0,3,0,3,0,0,0,3,3,NA,3,3,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,3,3,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,480,NA,33649,NA,NA,480,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,39438,34991,NA,NA,NA,1338,NA,NA,40468,1341,NA,NA,40569,41049,NA,40467,40569,Flanker Task,3,2506,4,1024
80,80,642,642,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,4,0,0,0,4,0,4,0,4,0,0,0,4,4,NA,4,4,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,4,4,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,707,NA,33649,NA,NA,707,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,41554,34991,NA,NA,41053,1338,NA,NA,42578,1341,NA,NA,42679,43386,NA,42577,42679,Flanker Task,4,3213,5,1024
83,83,620,620,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,5,0,0,0,5,0,5,0,5,0,0,0,5,5,NA,5,5,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,5,5,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,510,NA,33649,NA,NA,510,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,43390,34991,NA,NA,41053,1338,NA,NA,44421,1341,NA,NA,44522,45032,NA,44419,44522,Flanker Task,5,3723,6,1024
85,85,613,613,black,legacy,legacy,legacy,congruent ,1,undefined,1,s,6,0,0,0,6,0,6,0,6,0,0,0,6,6,NA,6,6,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,6,6,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,570,NA,33649,NA,NA,570,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,2,even,45036,34991,NA,NA,41053,1338,NA,NA,46063,1341,NA,NA,46164,46735,NA,46061,46164,Flanker Task,6,4293,7,1024
87,87,625,625,black,legacy,legacy,legacy,incongruent,1,undefined,1,s,7,0,0,0,7,0,7,0,7,0,0,0,7,7,NA,7,7,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,7,7,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,s,NA,s,NA,NA,s,NA,707,NA,33649,NA,NA,707,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,2,even,46739,34991,NA,NA,41053,1338,NA,NA,47770,1341,NA,NA,47871,48578,NA,47768,47871,Flanker Task,7,5000,8,1024
88,88,617,617,black,legacy,legacy,legacy,congruent ,1,undefined,1,h,8,0,0,0,8,0,8,0,8,0,0,0,8,8,NA,8,8,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,8,8,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,555,NA,33649,NA,NA,555,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,2,even,48582,34991,NA,NA,41053,1338,NA,NA,49611,1341,NA,NA,49712,50267,NA,49610,49712,Flanker Task,8,5555,9,1024
90,90,618,618,black,legacy,legacy,legacy,incongruent,1,undefined,1,h,9,0,0,0,9,0,9,0,9,0,0,0,9,9,NA,9,9,Mon Sep 18 11:33:02 2023,1500,The main experiment item,TRUE,FlankerTask.osexp,C:\Users\Simone\Desktop,FALSE,mono,FALSE,18,no,white,no,yes,768,legacy,9,9,C:\Users\Simone\Desktop\defaultlog.csv,legacy,Melodramatic Milgram,4.0.5,0,h,NA,s,NA,NA,h,NA,633,NA,33649,NA,NA,633,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,2,even,50271,34991,NA,NA,41053,1338,NA,NA,51297,1341,NA,NA,51398,52032,NA,51296,51398,Flanker Task,9,6188,10,1024
